[cs-service][INFO] [2016-05-04 10:45:41] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'userRealm' of type [class com.leweiyou.service.shiro.UserRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:41] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'securityManager' of type [class org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:41] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'simplePermFilter' of type [class com.leweiyou.service.shiro.PermissionsAuthorizationFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:42] org.hibernate.validator.internal.util.Version.<clinit>(27) | HV000001: Hibernate Validator 5.0.2.Final
[cs-service][INFO] [2016-05-04 10:45:43] TestUserService.testQueryPage(73) | PageInfo:PageInfo{pageNum=1, pageSize=10, size=2, startRow=1, endRow=2, total=2, pages=1, list=Page{pageNum=1, pageSize=10, startRow=0, endRow=10, total=2, pages=1, reasonable=true, pageSizeZero=false}, firstPage=1, prePage=0, nextPage=0, lastPage=1, isFirstPage=true, isLastPage=true, hasPreviousPage=false, hasNextPage=false, navigatePages=8, navigatepageNums=[1]}
[cs-service][INFO] [2016-05-04 10:45:43] TestUserService.testSelectOne(87) | XXX:U_-1
[cs-service][INFO] [2016-05-04 10:45:43] TestUserService.testQueryPage2(79) | PageInfo:PageInfo{pageNum=1, pageSize=10, size=2, startRow=1, endRow=2, total=2, pages=1, list=Page{pageNum=1, pageSize=10, startRow=0, endRow=10, total=2, pages=1, reasonable=true, pageSizeZero=false}, firstPage=1, prePage=0, nextPage=0, lastPage=1, isFirstPage=true, isLastPage=true, hasPreviousPage=false, hasNextPage=false, navigatePages=8, navigatepageNums=[1]}
[cs-service][INFO] [2016-05-04 10:45:43] org.springframework.context.support.AbstractApplicationContext.doClose(862) | Closing org.springframework.context.support.GenericApplicationContext@373246f3: startup date [Wed May 04 10:45:38 CST 2016]; root of context hierarchy
[cs-service][INFO] [2016-05-04 10:45:43] org.springframework.cache.ehcache.EhCacheManagerFactoryBean.destroy(181) | Shutting down EhCache CacheManager
[cs-service][INFO] [2016-05-04 10:45:43] com.alibaba.druid.pool.DruidDataSource.close(1385) | {dataSource-1} closed
